person A,id A,person B,id B,connection,collection item,date,notes,original data,,,
Florence Rena Sabin,74652573,Ellen Swallow Richards,27872501,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,"The Ellen Swallow Richards Prize given to Marie Curie. While Richards was dead at the time the prize was given, her scientific legacy of support for women scientists lived on in the prize.",,,
Florence Rena Sabin,74652573,Marie Curie,76353174,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,Curie invited to speak at the Naples Table Association event giving a woman of science the Ellen Swallow Richards Prize,,,
Florence Rena Sabin,74652573,Ida Hyde,68854739,mentioned in letter,"Florence Rena Sabin, Naples Table Association",Box 29,,Ida Hyde was one of the first women to start the Naples Table Association. This was after she studied in Naples with Dr. Dohrn and found it to be very open to women. She remained associated with the table until 1930s.,,,
Florence Rena Sabin,74652573,Carrie B. Fuld,97830012,mentor relationship,"Florence Rena Sabin, ""F""",,,"Carrie B. Fuld, wife of Felix Fuld, writes that she feels she ""discovered"" Sabin long ago. Letter dated Dec 10, 1935 in ""F 1919-1941 folder""",,,
Florence Rena Sabin,74652573,Maude E. Abbott,74657198,corresponded with,"Florence Rena Sabin, ""Evans, Alice""",,,Maude Abbott held posts at Medical Museum and McGill University. Sabin and Abott wrote to each other about posts for women students,,,"received letter of recommendation about (note - sometimes these were not official letters, but more quick notes that ""I recommend [x] for [y]"" when talking with friends"
Alice Evans,16452241,Marion Hines,6448391,received letter of recommendation about,"Florence Rena Sabin, ""Evans, Alice""",,,,,,
Alice Evans,16452241,Sarah Tower,36148120694594790960,received letter of recommendation about,"Florence Rena Sabin, ""Evans, Alice""",,,,,,
Alice Evans,16452241,Rebecca Lancefield,194154196756120110412,received letter of recommendation about,"Florence Rena Sabin, ""Evans, Alice""",,,,,,
Alice Evans,16452241,Clara Lynch,clara-lynch-biology,received letter of recommendation about,"Florence Rena Sabin, ""Evans, Alice""",,,,,,
Alice Evans,16452241,Helen Dean King,51423735,received letter of recommendation about,"Florence Rena Sabin, ""Evans, Alice""",,,,,,
Alice Evans,16452241,Florence Barbara Seibert,290322767,received letter of recommendation about,"Florence Rena Sabin, ""Evans, Alice""",,,,,,
Maude E. Abbott,74657198,Louise Frazee,louise-frazee-medicine,received letter of recommendation about,"Series I, Box 1, Abbott, Maude E. folder, letter dated June 6, 1917",,,,,,
