person,id,id_type,gender,DOB,DOD,place_of_birth,field,education,affiliation,publications,membership_in_societies,awards_and_honors_received,image,notes,biography,relevant_links,collection,description,image_credit,image_notes
Maude E. Abbott,74657198,VIAF,F,1868-03-18,1940-09-02,Quebec,Pathology|Medicine|Pediatrics|Women's health|Cardiology,McGill University,McGill University|Bishop's University|Montreal General Hospital,"""Congenital Cardiac Disease."" In <i>Modern Medicine: Its Theory and Practice </i> IV, ed. William Osler. Philadelphia/New York: Lea & Febiger, 1908.",,see wiki for list,https://upload.wikimedia.org/wikipedia/commons/6/6c/Maude_Abbott.jpg,,"Maude Abbott worked in pathology, particularly in heart disease in women and children. She practiced in Montreal and was the first woman to receive a BA from McGill University. She wrote a chapter on congenital heart disease for William Osler's <i>System of Modern Medicine</i> in 1905, and would later found the International Association of Medical Museums with Osler. At the end of her career in 1936 she contributed a new classification of congenital heart disease with her publication of Atlas of Congenital Cardiac Disease. Abbott corresponded with Florence Sabin about positions for young women scientists.",https://en.wikipedia.org/wiki/Maude_Abbott,Peyton Rous|Florence Rena Sabin|Simon Flexner,Maude Abbott held posts at Medical Museum and McGill University. Sabin and Abott wrote to each other about posts for women students,"Wm. Notman & Son, Dr. Maude E. Abbott, Montreal, Qc, 1904. II-150659.1, McCord Stewart Museum.",
Fran Adar,271256726,VIAF,F,,,Philadelphia,Physics|Biophysics,University of Pennsylvania,University of Pennsylvania|Jobin Yvon|HORIBA Scientific,"Adar, Fran, Ruth Geiger, and Jon Noonan. ""Raman spectroscopy for process/quality control."" <i>Applied spectroscopy reviews</i> 32, no. 1-2 (1997): 45-101.|Adar, Fran, Martin Gouterman, and Sheldon Aronowitz. ""Fluorescence, resonance Raman, and radiationless decay in several hemoproteins."" <i>The Journal of Physical Chemistry</i> 80, no. 20 (1976): 2184-2191.|Adar, Fran, and Maria Erecińska. ""Resonance Raman spectra of the b-and c-type cytochromes of succinate-cytochrome c reductase."" <i>Archives of Biochemistry and Biophysics</i> 165, no. 2 (1974): 570-580.",Society for Applied Spectroscopy|Coblentz Society,Career Award (American Cancer Society)|Williams Wright Award for Raman Spectroscopy in Industry (Coblentz Society)|Ernst Abbe Awrad (New York Microscopy Society),,image credits,"Fran Adar is an American physicist and biophysicist. Adar received her PhD in physics from the University of Pennsylvania in 1972. Her primary focus was on resonance Raman spectroscopy. She was then a postdoctoral fellow in biophysics at Penn, where she worked with Mildred Cohn and Britton Chance on applications of this new form of spectroscopy to biology. After her postdoc, Adar was an assistant professor at Penn for five years. In 1978, she took a position at Jobin Yvon (today HORIBA Scientific), working as an application scientist. She has remained there since, working on the development of instruments and applications of spectroscopy. Adar is a leading expert in the field of resonance Raman spectroscopy and has authored over 220 publications.",https://asianjournalofphysics.com/wp-content/uploads/2022/03/My-career-path-in-the-feld-of-Raman-spectroscopy-and-microscopy.pdf,Britton Chance|Mildred Cohn,"received a PhD in physics in 1972, worked as a postdoc at unniversity of pennsylvania, biophysicist: https://www.horiba.com/int/women-in-science/a-scientist-first/","Fran Adar, Spectroscopy Online",https://cdn.sanity.io/images/0vv8moc6/spectroscopy/5d08dac8b04d606d4103cb2dae4873c89866c42d-199x254.jpg/fran-adar.jpeg?fit=crop&auto=format
Lewis Affronti,lewis-affronti-microbiology,APS-WIS,M,1928-08-28,2007-10-28,"Rochester, NY",Microbiology|Biology|Tuberculosis research,University of Buffalo|Duke University,George Washington University Medical Center,,American Society for Microbiology|American Society for Clinical Pathology|American Scientific Research Society|American Association for the Advancement of Science|National Tuberculosis Association.,,,,Lewis Affronti is known for his work with Florence Seibert in developing a widely used skin test for detecting tuberculosis. He later went on to study a type of tuberculosis that commonly affected AIDS patients. He worked as a consultant for the World Health Organization in this field.,https://www.legacy.com/us/obituaries/democratandchronicle/name/lewis-affronti-obituary?id=29323866,Florence Barbara Seibert,,,
Nanci R. Aiken,nanci-aiken-chemistry,APS-WIS,F,,,,Medicine|Biology|Chemistry|Biochemistry|Cancer research,University of Maryland College Park|New Mexico Institute of Mining and Technology|University of New Mexico,Johns Hopkins University|Fox Chase Cancer Center|University of Arizona,"Aiken, N.R., McGovern, K.G., Ng, C.E., Wehrle, J.P. and Glickson, J.D. ""31P NMR Spectroscopic Studies of the Effects of Cyclophosphamide on Perfused RIF-1 Tumor Cells."" <i>J. Magn. Reson. Med.</i> 31 (1994): 241-247.",International Society of Magnetic Resonance in Medicine|American Association for the Advancement of Science,,,,"Nanci R. Aiken received her PhD from the University of New Mexico and assumed a postdoctoral fellowship at the Johns Hopkins University School of Medicine. She worked with Jerry Glickson on oncological imaging and NMR spectroscopy. In 1992, she received an offer from Mildred Cohn to work on a grant-funded project Cohn was pursuing with Audrey Evans and Elizabeth E. Miller; however, it seems she turned down the offer so she could remain in Baltimore. She nonetheless ended up in Philadelphia afterwards, working at the Fox Chase Cancer Center before finally becoming a research assistant professor at the University of Arizona. Aiken left academia to found a charter school in 2000.",https://www.linkedin.com/in/nanci-r-aiken-289676a9|http://www.childrenssuccess.qwestoffice.net/2-Dr-Aiken.htm,Mildred Cohn,"September 1992, MC asks Aiken to consider working with her on a grant she just received",,material in Cohn papers
Dorothy H. Anderson,dorothy-anderson-pathology,APS-WIS,F,1901-05-15,1963-03-03,,Pathology|Pediatrics|Medicine|Anatomy,Mount Holyoke|Johns Hopkins University|Columbia University,University of Rochester|Columbia University,,,E. Mead Johnson Award|Elizabeth Blackwell Award|National Women's Hall of Fame,https://upload.wikimedia.org/wikipedia/commons/7/72/Dorothy_Hansine_Andersen.jpg,,"Dorothy H. Anderson worked under Florence Sabin at Johns Hopkins University. Following her time at JHU she spent a year at the University of Rochester, but was denied a residency due to her gender. She then went on to work at Columbia University where she first identified cystic fibrosis and created a diagnostic test for cystic fibrosis.",https://en.wikipedia.org/wiki/Dorothy_Hansine_Andersen | image credit: http://www.nlm.nih.gov/changingthefaceofmedicine/physicians/bio,Erwin Chargaff|Florence Rena Sabin,"Dorothy Anderson in the department of Pathology of Columbia University under J.W. Jobling. Head of the Department of Pathology of the Babies Hospital. She has excellent work in endicronology (1939). Series I, Box 1; a letter from Dorothy H. Anderson, Strong Hospital, Rochester, NY asking for a suggestin of where to work. No return letter. Anderson is listed by Sabin as being a woman of science in her letter to Anna E. Holman, Series I, Box 11","Dorothy H. Anderson, National Library of Medicine.",
Nora Archer,nora-archer-medicine,APS-WIS,F,,,,Medicine,,"King's College Hospital, London","Lawrence, R. D., and Nora Archer. “Some Experiments With Protamine Insulinate.” <i>The British Medical Journal</i> 1, no. 3927 (1936): 747–49.",,,,,"Nora Archer worked in the Diabetic Department of King's College Hospital, London in 1936. She published with Robert Daniel Lawrence, also at King's College Hospital, London, who studied diabetics and insulin and who was himself a diabetic, among the first to receive insulin injections in the UK.",,Florence Rena Sabin,"Dr. Nora Archer from Oxford, in the US as a guest of AAUW (possibly a fellow?) 1936",,
Anna Baetjer,31884691,VIAF,F,1899-07-07,1984-02-21,Baltimore,Physiology|Toxicology|Medicine|Women's health|Public health,Wellesley University|Johns Hopkins University,Johns Hopkins University,"Baetjer, Anna Medora (1948), ""Results of Influenza Vaccination in Industry during the 1947 Epidemic"", Preventative Medicine and Public Health, Pittsburgh; Baetjer, Anna Medora (1946), Women in Industry: Their Health and Efficiency, Philadelphia: W. B. Saunders,",,Kehoe Award (American Academy of Occupational Medicine)|Stokinger Award (American Conference of Governmental Industrial Hygienists),https://diglib.amphilsoc.org/islandora/object/text:211438/datastream/JPG/view,,"Anna Baetjer worked in industrial hygiene and studied the correlations between cancer and chromium exposure. She both studied and taught at Johns Hopkins University. Her research focused on how women in the workforce could be safer, particularly when lifting heavy loads, operating machinery, and by limiting work weeks to six days.",https://en.wikipedia.org/wiki/Anna_Baetjer,Charles Benedict Davenport|Bentley Glass|Florence Rena Sabin,"Dr. Anna Baetjer Department of Physiological Hygeine. A letter dated June 10, 1935 includes a recommendation from Dr. Meyer (male). Copies made of rec. Also found in Anna E. Holman folder, Series 1, Box 11. Also mentioned in the ""Jacqua, Ernest J"" folder, Series I, Box 11. FRS recommends Baetjer to Doctor Anna Holman.","Letter from the secretary of Florence Sabin to Ernst Jacqua, 1935, Florence Rena Sabin Papers, APS.",
S. Josephine Baker,41048301,VIAF,F,1873-11-15,1945-02-22,,Medicine|Public health|Pathology,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/79/S_Josephine_Baker_MD.jpg,,"Sara Josephine Baker was an American public health leader. Baker was responsible for numerous public health initiatives in New York City, most notably taking measures to reduce the rate of infant mortality and tracking down ""Typhoid Mary,"" a woman with asymptomatic typhoid fever who caused a massive outbreak. Baker received her medical degree in 1898 from New York Infirmary Medical College. After a short internship in Boston, she worked as a private physician in New York City and as a medical inspector for the Department of Health. Baker set up a program to educate mothers in infant hygiene, which greatly helped improve both the rate of infant mortality and the overall health of New York City's children. In her private life, Baker lived together with author Ida Ross Wylie and physician Louise Pearce. Baker tended to wear men's suits and joked that her colleagues forgot she was a woman.",,Florence Rena Sabin|Rufus Ivory Cole,,"Dr. Sara Josephine Baker, ca. 1922, U.S. National Library of Medicine.",
Elizabeth Bass,elizabeth-bass-medicine,APS-WIS,F,1876-04-05,1956,Mississippi,Pathology|Medicine|Bacteriology,Women's College of Philadelphia,Women's College of Philadelphia|Tulane University,,Medical Women's National Association,Elizabeth Blackwell Centennial Medal (American Medical Women’s Association),https://upload.wikimedia.org/wikipedia/commons/e/e6/Dr_Elizabeth_Bass.jpg,,Elizabeth Bass graduated from Women's Medical College of Pennsylvania in 1904. She went on to teach at Tulane University for 30 years and was one of the first female teachers there. In 1921 and 1922 she was president of Medical Women's National Association.,https://exhibits.tulane.edu/exhibit/tulanewomen/academicwomen/dr-elizabeth-bass/; https://en.wikipedia.org/wiki/Elizabeth_Bass,Florence Rena Sabin,"Dr. Elizabeth Bass, Tulane University of Louisiana, school of medicine, FRS sent reprints to Dr. Bass of her book An Atlas of the Medulla and Midbrain, Bass sends thank you note.","Dr. Elizabeth Bass, The Medical Woman's Journal, May, 1920.",
Pam Batchelor,pam-batchelor-biophysics,APS-WIS,F,,,,Biophysics,,Oxford,,,,,,"Pam Batchelor served for many years as the secretary for David Phillips, a well-regarded biophysicist and crystallographer. Though not herself a researcher, she helped provide research data to both Mildred Cohn and Jenny Glusker. Cohn thanks her in two separate notes addressed specifically to her.",https://www.crystallography.org.uk/old-bca-website/obits/dcp3.html,Mildred Cohn,,,letter in Cohn's papers
Frieda Baumann,frieda-baumann-medicine,APS-WIS,F,1887-04-28,,"Scranton, PA",Medicine,Mansfield State Teachers College|Women's Medical College Pennsylvania,,,,,,,Frieda Baumann graduated from Women's College of Philadelphia and later served as President of the Alumnae Association of the Woman's Medical College of Pennsylvania. She was a fellow of the American College of Physicians and a member of the American Women's Medical Association.,,Florence Rena Sabin,"Frieda Baumann, MD, President Alumane Association of the Woman's Medical College of Pennsylvania, invited FRS to give a talk to the Alumanae Association of the Women's Medical College. FRS declined due to anothr appointment.",,
Adelaide Baylis,19369819,VIAF,F,,,,Bacteriology|Pathology|Medicine,,,"""The Vernes Test for Tuberculosis, American Review of Tubercleosis, 1927; and ""The Vernes Flocculation Test for TB: Results of 250 cases""",,,https://tile.loc.gov/storage-services/service/pnp/ggbain/25800/25828v.jpg,,"Adelaide Baylis was a bacteriologist who worked with the Vernes Flocculation Test for determining syphilis. Florence Sabin credited her as one of the only people in the country who could perform the test. During World War I, she served as a captain in the National League of Women's Services Motor Corps in New York. In the 1930s, she worked at the New York Postgraduate Medical School and Hospital.",,Florence Rena Sabin,"Miss Adelaide Baylis, works at postgraduate medical school in 1936. Sabin says she is the only person in the country accredited to do Vernes Flocculation Test. Baylis wrote the articles The Vernes Test for Tuberculosis, American Review of Tubercleosis, 1927; and The Vernes Flocculation Test for TB: Results of 250 cases - Series I, Box 9. Sends specimens and samples to (series 1, box 2)","Bain News Service, Publisher. Capt. Adelaide B. Baylis., 1917 [or 1918]. Library of Congress, LC-B2- 4432-1.",
